n;t_ns
314;1.950e+02
314;2.090e+02
314;2.060e+02
314;2.280e+02
314;2.280e+02
314;2.180e+02
314;2.180e+02
314;2.070e+02
314;2.060e+02
314;1.910e+02
314;1.930e+02
314;1.980e+02
314;2.030e+02
314;1.910e+02
314;1.930e+02
314;1.900e+02
314;2.000e+02
314;1.900e+02
314;1.930e+02
314;1.920e+02
314;1.930e+02
1000;5.590e+02
1000;5.440e+02
1000;5.570e+02
1000;5.440e+02
1000;5.470e+02
1000;5.420e+02
1000;5.470e+02
1000;5.430e+02
1000;5.660e+02
1000;5.610e+02
1000;5.890e+02
1000;5.950e+02
1000;5.560e+02
1000;5.690e+02
1000;5.550e+02
1000;5.410e+02
1000;5.520e+02
1000;5.450e+02
1000;5.510e+02
1000;5.430e+02
1000;5.490e+02
3141;1.700e+03
3141;1.647e+03
3141;1.695e+03
3141;1.647e+03
3141;1.662e+03
3141;1.658e+03
3141;1.662e+03
3141;1.643e+03
3141;1.758e+03
3141;1.666e+03
3141;1.648e+03
3141;1.648e+03
3141;1.651e+03
3141;1.654e+03
3141;1.690e+03
3141;1.672e+03
3141;1.650e+03
3141;1.638e+03
3141;1.647e+03
3141;1.647e+03
3141;1.695e+03
10000;5.503e+03
10000;5.334e+03
10000;5.281e+03
10000;5.265e+03
10000;5.267e+03
10000;5.293e+03
10000;5.206e+03
10000;5.304e+03
10000;5.225e+03
10000;5.288e+03
10000;5.234e+03
10000;5.349e+03
10000;5.234e+03
10000;5.303e+03
10000;5.342e+03
10000;5.271e+03
10000;5.281e+03
10000;5.275e+03
10000;5.283e+03
10000;5.238e+03
10000;5.272e+03
31415;1.770e+04
31415;1.717e+04
31415;1.709e+04
31415;1.679e+04
31415;1.690e+04
31415;1.678e+04
31415;1.672e+04
31415;1.666e+04
31415;1.659e+04
31415;1.656e+04
31415;1.662e+04
31415;1.655e+04
31415;1.653e+04
31415;1.643e+04
31415;1.675e+04
31415;1.650e+04
31415;1.652e+04
31415;1.668e+04
31415;1.650e+04
31415;1.645e+04
31415;1.653e+04
100000;5.766e+04
100000;5.614e+04
100000;5.560e+04
100000;5.451e+04
100000;5.437e+04
100000;5.440e+04
100000;5.382e+04
100000;5.338e+04
100000;5.347e+04
100000;5.300e+04
100000;5.327e+04
100000;5.327e+04
100000;5.314e+04
100000;5.299e+04
100000;5.287e+04
100000;5.286e+04
100000;5.269e+04
100000;5.315e+04
100000;5.256e+04
100000;5.273e+04
100000;5.269e+04
314159;1.826e+05
314159;1.815e+05
314159;1.801e+05
314159;1.876e+05
314159;1.804e+05
314159;1.851e+05
314159;1.774e+05
314159;1.810e+05
314159;1.821e+05
314159;1.866e+05
314159;1.876e+05
314159;1.867e+05
314159;1.750e+05
314159;1.737e+05
314159;1.730e+05
314159;1.721e+05
314159;1.719e+05
314159;1.717e+05
314159;1.714e+05
314159;1.696e+05
314159;1.700e+05
1000000;5.850e+05
1000000;5.822e+05
1000000;5.792e+05
1000000;5.847e+05
1000000;5.781e+05
1000000;5.765e+05
1000000;5.760e+05
1000000;5.737e+05
1000000;5.787e+05
1000000;5.722e+05
1000000;5.755e+05
1000000;5.688e+05
1000000;5.692e+05
1000000;5.700e+05
1000000;5.819e+05
1000000;5.688e+05
1000000;5.688e+05
1000000;5.621e+05
1000000;6.009e+05
1000000;5.626e+05
1000000;5.627e+05
