n;t_ns
314;1.810e+02
314;1.760e+02
314;1.660e+02
314;1.630e+02
314;1.640e+02
314;1.630e+02
314;1.630e+02
314;1.630e+02
314;1.600e+02
314;1.630e+02
314;1.630e+02
314;1.620e+02
314;1.640e+02
314;1.590e+02
314;1.630e+02
314;1.620e+02
314;1.620e+02
314;1.630e+02
314;1.620e+02
314;1.650e+02
314;1.660e+02
1000;5.310e+02
1000;4.770e+02
1000;4.560e+02
1000;4.510e+02
1000;4.330e+02
1000;4.220e+02
1000;4.330e+02
1000;4.150e+02
1000;4.330e+02
1000;4.160e+02
1000;4.300e+02
1000;4.190e+02
1000;4.290e+02
1000;4.180e+02
1000;4.300e+02
1000;4.220e+02
1000;4.370e+02
1000;4.140e+02
1000;4.280e+02
1000;4.210e+02
1000;4.590e+02
3141;1.761e+03
3141;1.691e+03
3141;1.679e+03
3141;1.621e+03
3141;1.606e+03
3141;1.610e+03
3141;1.604e+03
3141;1.550e+03
3141;1.562e+03
3141;1.543e+03
3141;1.541e+03
3141;1.540e+03
3141;1.539e+03
3141;1.502e+03
3141;1.507e+03
3141;1.491e+03
3141;1.476e+03
3141;1.451e+03
3141;1.459e+03
3141;1.449e+03
3141;1.451e+03
10000;5.536e+03
10000;5.641e+03
10000;5.559e+03
10000;5.543e+03
10000;5.467e+03
10000;5.453e+03
10000;5.495e+03
10000;5.511e+03
10000;5.525e+03
10000;5.496e+03
10000;5.516e+03
10000;5.562e+03
10000;5.482e+03
10000;5.424e+03
10000;5.442e+03
10000;5.382e+03
10000;5.419e+03
10000;5.394e+03
10000;5.474e+03
10000;5.444e+03
10000;5.483e+03
31415;1.722e+04
31415;1.722e+04
31415;1.715e+04
31415;1.751e+04
31415;1.717e+04
31415;1.728e+04
31415;1.734e+04
31415;1.720e+04
31415;1.729e+04
31415;1.732e+04
31415;1.710e+04
31415;1.747e+04
31415;1.726e+04
31415;1.732e+04
31415;1.722e+04
31415;1.721e+04
31415;1.749e+04
31415;1.720e+04
31415;1.737e+04
31415;1.715e+04
31415;1.760e+04
100000;5.436e+04
100000;5.448e+04
100000;5.449e+04
100000;5.428e+04
100000;5.441e+04
100000;5.472e+04
100000;5.482e+04
100000;5.448e+04
100000;5.398e+04
100000;5.414e+04
100000;5.403e+04
100000;5.414e+04
100000;5.392e+04
100000;5.389e+04
100000;5.411e+04
100000;5.430e+04
100000;5.416e+04
100000;5.426e+04
100000;5.430e+04
100000;5.412e+04
100000;5.410e+04
314159;1.704e+05
314159;1.721e+05
314159;1.722e+05
314159;1.715e+05
314159;1.718e+05
314159;1.718e+05
314159;1.722e+05
314159;1.737e+05
314159;1.725e+05
314159;1.722e+05
314159;1.736e+05
314159;1.739e+05
314159;1.736e+05
314159;1.744e+05
314159;1.746e+05
314159;1.733e+05
314159;1.733e+05
314159;1.721e+05
314159;1.726e+05
314159;1.729e+05
314159;1.738e+05
1000000;5.516e+05
1000000;5.521e+05
1000000;5.498e+05
1000000;5.503e+05
1000000;5.487e+05
1000000;5.521e+05
1000000;5.523e+05
1000000;5.528e+05
1000000;5.509e+05
1000000;5.499e+05
1000000;5.506e+05
1000000;5.518e+05
1000000;5.531e+05
1000000;5.534e+05
1000000;5.564e+05
1000000;5.545e+05
1000000;5.609e+05
1000000;5.552e+05
1000000;5.551e+05
1000000;5.510e+05
1000000;5.509e+05
