n;t_ns
314;1.800e+02
314;1.880e+02
314;1.760e+02
314;1.780e+02
314;1.800e+02
314;1.770e+02
314;1.750e+02
314;1.760e+02
314;1.750e+02
314;1.770e+02
314;1.760e+02
314;1.770e+02
314;1.780e+02
314;1.770e+02
314;1.820e+02
314;1.750e+02
314;1.800e+02
314;1.760e+02
314;1.770e+02
314;1.770e+02
314;1.760e+02
1000;5.490e+02
1000;5.350e+02
1000;5.380e+02
1000;5.130e+02
1000;5.250e+02
1000;5.030e+02
1000;5.120e+02
1000;4.970e+02
1000;5.130e+02
1000;4.970e+02
1000;5.080e+02
1000;4.980e+02
1000;5.120e+02
1000;4.990e+02
1000;5.340e+02
1000;5.160e+02
1000;5.140e+02
1000;5.020e+02
1000;5.140e+02
1000;4.980e+02
1000;5.170e+02
3141;1.692e+03
3141;1.666e+03
3141;1.662e+03
3141;1.645e+03
3141;1.645e+03
3141;1.629e+03
3141;1.660e+03
3141;1.623e+03
3141;1.637e+03
3141;1.614e+03
3141;1.629e+03
3141;1.606e+03
3141;1.615e+03
3141;1.615e+03
3141;1.607e+03
3141;1.587e+03
3141;1.604e+03
3141;1.581e+03
3141;1.597e+03
3141;1.587e+03
3141;1.583e+03
10000;5.306e+03
10000;5.321e+03
10000;5.295e+03
10000;5.309e+03
10000;5.267e+03
10000;5.250e+03
10000;5.256e+03
10000;5.246e+03
10000;5.262e+03
10000;5.234e+03
10000;5.283e+03
10000;5.262e+03
10000;5.272e+03
10000;5.267e+03
10000;5.298e+03
10000;5.244e+03
10000;5.275e+03
10000;5.252e+03
10000;5.258e+03
10000;5.264e+03
10000;5.289e+03
31415;1.664e+04
31415;1.655e+04
31415;1.649e+04
31415;1.658e+04
31415;1.653e+04
31415;1.653e+04
31415;1.654e+04
31415;1.651e+04
31415;1.659e+04
31415;1.650e+04
31415;1.663e+04
31415;1.651e+04
31415;1.652e+04
31415;1.649e+04
31415;1.654e+04
31415;1.664e+04
31415;1.653e+04
31415;1.653e+04
31415;1.652e+04
31415;1.651e+04
31415;1.660e+04
100000;5.275e+04
100000;5.286e+04
100000;5.288e+04
100000;5.267e+04
100000;5.270e+04
100000;5.274e+04
100000;5.287e+04
100000;5.291e+04
100000;5.291e+04
100000;5.276e+04
100000;5.288e+04
100000;5.249e+04
100000;5.267e+04
100000;5.263e+04
100000;5.314e+04
100000;5.326e+04
100000;5.288e+04
100000;5.290e+04
100000;5.282e+04
100000;5.277e+04
100000;5.284e+04
314159;1.663e+05
314159;1.662e+05
314159;1.656e+05
314159;1.665e+05
314159;1.658e+05
314159;1.665e+05
314159;1.658e+05
314159;1.667e+05
314159;1.666e+05
314159;1.668e+05
314159;1.665e+05
314159;1.664e+05
314159;1.668e+05
314159;1.664e+05
314159;1.660e+05
314159;1.666e+05
314159;1.663e+05
314159;1.661e+05
314159;1.663e+05
314159;1.666e+05
314159;1.663e+05
1000000;5.294e+05
1000000;5.277e+05
1000000;5.279e+05
1000000;5.277e+05
1000000;5.289e+05
1000000;5.285e+05
1000000;5.286e+05
1000000;5.288e+05
1000000;5.283e+05
1000000;5.279e+05
1000000;5.275e+05
1000000;5.260e+05
1000000;5.264e+05
1000000;5.268e+05
1000000;5.290e+05
1000000;5.285e+05
1000000;5.272e+05
1000000;5.272e+05
1000000;5.284e+05
1000000;5.281e+05
1000000;5.285e+05
