n;t_ns
314;1.890e+02
314;2.070e+02
314;1.980e+02
314;1.940e+02
314;1.960e+02
314;1.950e+02
314;1.890e+02
314;1.920e+02
314;1.890e+02
314;1.950e+02
314;1.950e+02
314;1.950e+02
314;1.940e+02
314;1.970e+02
314;1.950e+02
314;1.960e+02
314;2.020e+02
314;1.990e+02
314;1.970e+02
314;1.990e+02
314;1.950e+02
1000;5.640e+02
1000;5.550e+02
1000;5.590e+02
1000;5.500e+02
1000;5.640e+02
1000;5.480e+02
1000;5.630e+02
1000;5.470e+02
1000;5.610e+02
1000;5.460e+02
1000;5.660e+02
1000;5.480e+02
1000;5.770e+02
1000;5.770e+02
1000;5.700e+02
1000;5.530e+02
1000;5.650e+02
1000;5.540e+02
1000;5.690e+02
1000;5.500e+02
1000;5.570e+02
3141;1.703e+03
3141;1.683e+03
3141;1.699e+03
3141;1.686e+03
3141;1.716e+03
3141;1.685e+03
3141;1.713e+03
3141;1.686e+03
3141;1.691e+03
3141;1.675e+03
3141;1.711e+03
3141;1.680e+03
3141;1.688e+03
3141;1.677e+03
3141;1.686e+03
3141;1.690e+03
3141;1.705e+03
3141;1.682e+03
3141;1.704e+03
3141;1.675e+03
3141;1.702e+03
10000;5.459e+03
10000;5.371e+03
10000;5.405e+03
10000;5.370e+03
10000;5.429e+03
10000;5.382e+03
10000;5.399e+03
10000;5.425e+03
10000;5.375e+03
10000;5.393e+03
10000;5.403e+03
10000;5.372e+03
10000;5.384e+03
10000;5.388e+03
10000;5.365e+03
10000;5.374e+03
10000;5.355e+03
10000;5.367e+03
10000;5.379e+03
10000;5.382e+03
10000;5.388e+03
31415;1.682e+04
31415;1.676e+04
31415;1.686e+04
31415;1.689e+04
31415;1.676e+04
31415;1.683e+04
31415;1.685e+04
31415;1.687e+04
31415;1.680e+04
31415;1.670e+04
31415;1.676e+04
31415;1.679e+04
31415;1.675e+04
31415;1.674e+04
31415;1.674e+04
31415;1.672e+04
31415;1.677e+04
31415;1.679e+04
31415;1.672e+04
31415;1.679e+04
31415;1.677e+04
100000;5.280e+04
100000;5.271e+04
100000;5.300e+04
100000;5.277e+04
100000;5.303e+04
100000;5.320e+04
100000;5.315e+04
100000;5.280e+04
100000;5.263e+04
100000;5.295e+04
100000;5.279e+04
100000;5.281e+04
100000;5.262e+04
100000;5.279e+04
100000;5.275e+04
100000;5.285e+04
100000;5.297e+04
100000;5.284e+04
100000;5.286e+04
100000;5.281e+04
100000;5.288e+04
314159;1.665e+05
314159;1.676e+05
314159;1.676e+05
314159;1.672e+05
314159;1.676e+05
314159;1.676e+05
314159;1.678e+05
314159;1.684e+05
314159;1.677e+05
314159;1.684e+05
314159;1.684e+05
314159;1.680e+05
314159;1.680e+05
314159;1.683e+05
314159;1.685e+05
314159;1.677e+05
314159;1.676e+05
314159;1.678e+05
314159;1.677e+05
314159;1.679e+05
314159;1.680e+05
1000000;5.342e+05
1000000;5.336e+05
1000000;5.343e+05
1000000;5.333e+05
1000000;5.330e+05
1000000;5.337e+05
1000000;5.343e+05
1000000;5.361e+05
1000000;5.349e+05
1000000;5.347e+05
1000000;5.348e+05
1000000;5.360e+05
1000000;5.453e+05
1000000;5.543e+05
1000000;5.526e+05
1000000;5.553e+05
1000000;5.568e+05
1000000;5.552e+05
1000000;5.582e+05
1000000;5.568e+05
1000000;5.573e+05
