n;t_ns
500;1.389e+05
500;1.020e+02
500;4.960e+02
500;7.030e+02
500;7.300e+01
500;2.125e+04
500;8.020e+02
500;2.148e+03
500;4.910e+02
500;2.770e+02
500;4.000e+00
500;1.506e+03
500;2.500e+01
500;1.299e+03
500;7.000e+01
500;7.580e+02
500;8.667e+03
500;1.905e+03
500;9.190e+02
500;2.384e+03
500;9.000e+02
500;5.609e+03
500;1.027e+05
500;8.000e+01
500;1.600e+01
500;8.900e+01
500;6.700e+02
500;4.360e+03
500;4.670e+02
500;2.560e+02
500;2.308e+03
500;6.370e+02
500;7.150e+02
500;2.293e+03
500;9.540e+02
500;4.680e+02
500;5.370e+02
500;9.460e+02
500;2.774e+03
500;2.450e+02
500;1.476e+03
500;5.880e+03
500;3.660e+02
500;6.250e+02
500;1.120e+02
500;3.081e+04
500;2.850e+02
500;6.222e+03
500;2.082e+04
500;4.460e+02
500;1.251e+03
500;9.240e+02
500;5.000e+01
500;2.297e+03
500;6.560e+02
500;1.132e+03
500;7.280e+02
500;1.453e+04
500;2.033e+03
500;6.530e+02
500;9.250e+02
500;1.536e+03
500;1.883e+03
500;5.410e+02
500;6.501e+03
500;2.920e+02
500;2.060e+02
500;2.196e+03
500;1.823e+03
500;6.400e+02
500;5.437e+03
500;6.810e+02
500;3.100e+01
500;1.976e+03
500;7.200e+02
500;2.460e+02
500;1.794e+03
500;3.000e+02
500;1.439e+03
500;7.520e+02
500;3.400e+01
500;2.014e+03
500;5.410e+02
500;2.070e+02
500;1.982e+03
500;2.320e+02
500;2.109e+04
500;2.930e+02
500;2.740e+02
500;8.626e+03
500;9.470e+02
500;2.320e+02
500;5.988e+03
500;1.181e+03
500;9.020e+02
500;6.204e+03
500;1.370e+02
500;5.500e+02
500;5.837e+03
500;7.680e+02
500;1.671e+03
1000;5.442e+05
1000;5.422e+03
1000;6.140e+02
1000;5.250e+02
1000;3.315e+03
1000;2.788e+03
1000;3.101e+03
1000;2.217e+03
1000;1.230e+02
1000;1.081e+03
1000;2.351e+03
1000;2.422e+03
1000;1.338e+03
1000;9.470e+03
1000;6.170e+02
1000;5.039e+03
1000;5.610e+02
1000;1.020e+02
1000;3.200e+03
1000;1.171e+03
1000;3.830e+02
1000;3.406e+03
1000;1.262e+03
1000;4.392e+03
1000;2.412e+03
1000;1.330e+02
1000;4.252e+03
1000;1.170e+03
1000;5.727e+03
1000;8.087e+03
1000;2.551e+03
1000;1.328e+03
1000;1.446e+03
1000;1.449e+03
1000;7.150e+02
1000;2.193e+03
1000;1.011e+03
1000;2.258e+03
1000;3.113e+03
1000;8.430e+02
1000;3.553e+04
1000;4.480e+03
1000;3.662e+03
1000;2.366e+03
1000;2.390e+02
1000;1.264e+03
1000;4.856e+03
1000;4.546e+03
1000;2.750e+02
1000;2.468e+03
1000;2.837e+03
1000;5.560e+02
1000;3.269e+03
1000;3.035e+03
1000;3.274e+03
1000;5.716e+03
1000;3.070e+02
1000;1.330e+02
1000;1.640e+04
1000;3.134e+03
1000;1.652e+03
1000;7.727e+03
1000;6.920e+02
1000;8.996e+03
1000;1.551e+04
1000;2.495e+03
1000;1.338e+03
1000;2.458e+03
1000;7.153e+04
1000;5.914e+03
1000;2.650e+02
1000;4.210e+02
1000;5.887e+03
1000;2.379e+03
1000;3.601e+04
1000;1.100e+02
1000;2.347e+03
1000;1.850e+03
1000;2.589e+03
1000;1.129e+03
1000;8.629e+03
1000;1.562e+03
1000;3.130e+02
1000;2.319e+03
1000;3.900e+02
1000;2.567e+03
1000;8.610e+02
1000;7.650e+02
1000;3.330e+02
1000;1.211e+03
1000;2.217e+03
1000;3.934e+03
1000;3.104e+04
1000;2.690e+03
1000;2.886e+03
1000;8.018e+03
1000;7.500e+02
1000;5.610e+02
1000;3.226e+05
1000;2.477e+03
1000;1.038e+03
5000;1.338e+07
5000;2.756e+04
5000;1.388e+04
5000;1.633e+06
5000;1.059e+04
5000;1.250e+03
5000;5.600e+03
5000;9.393e+03
5000;5.317e+03
5000;6.097e+03
5000;9.870e+02
5000;4.936e+04
5000;3.026e+03
5000;1.010e+04
5000;2.216e+03
5000;6.846e+03
5000;1.659e+04
5000;4.346e+04
5000;1.118e+04
5000;3.283e+03
5000;7.851e+03
5000;2.164e+03
5000;1.173e+05
5000;5.020e+04
5000;8.155e+03
5000;2.305e+04
5000;1.450e+04
5000;4.953e+03
5000;2.382e+04
5000;2.356e+05
5000;1.022e+04
5000;2.472e+03
5000;3.202e+03
5000;1.411e+04
5000;9.130e+02
5000;2.450e+05
5000;1.309e+04
5000;8.280e+04
5000;1.935e+04
5000;8.129e+03
5000;5.807e+03
5000;5.854e+03
5000;5.026e+04
5000;7.732e+03
5000;1.915e+04
5000;6.010e+04
5000;1.271e+04
5000;2.340e+04
5000;1.584e+04
5000;9.400e+02
5000;3.762e+03
5000;6.129e+05
5000;4.884e+04
5000;1.246e+04
5000;1.526e+04
5000;1.600e+04
5000;3.472e+03
5000;2.331e+04
5000;4.060e+02
5000;8.688e+03
5000;9.230e+03
5000;7.113e+03
5000;8.516e+03
5000;5.725e+03
5000;2.100e+01
5000;5.511e+03
5000;4.393e+03
5000;4.394e+03
5000;3.361e+03
5000;1.381e+04
5000;8.000e+02
5000;1.226e+05
5000;9.264e+03
5000;1.197e+05
5000;1.204e+06
5000;1.048e+03
5000;3.030e+03
5000;6.253e+03
5000;1.459e+05
5000;6.230e+02
5000;2.500e+01
5000;6.470e+02
5000;4.014e+04
5000;1.201e+05
5000;6.007e+03
5000;2.190e+04
5000;1.224e+04
5000;1.640e+03
5000;2.037e+04
5000;5.464e+03
5000;1.516e+04
5000;4.755e+03
5000;1.190e+03
5000;5.933e+03
5000;1.357e+04
5000;1.002e+04
5000;5.928e+04
5000;1.574e+04
5000;2.219e+06
5000;5.250e+02
5000;1.121e+03
10000;5.363e+07
10000;7.783e+03
10000;3.524e+04
10000;2.776e+04
10000;1.774e+04
10000;6.455e+04
10000;3.603e+04
10000;2.132e+04
10000;3.099e+03
10000;5.748e+04
10000;5.426e+04
10000;1.156e+04
10000;4.661e+03
10000;1.177e+04
10000;3.735e+03
10000;2.321e+03
10000;1.624e+04
10000;5.714e+04
10000;4.409e+03
10000;3.592e+05
10000;5.790e+04
10000;1.526e+04
10000;9.169e+03
10000;3.163e+03
10000;1.123e+04
10000;3.861e+03
10000;8.451e+03
10000;2.580e+04
10000;2.289e+04
10000;5.058e+04
10000;4.490e+04
10000;1.257e+04
10000;1.535e+03
10000;2.469e+04
10000;1.205e+04
10000;6.688e+04
10000;1.639e+04
10000;6.644e+04
10000;7.738e+03
10000;1.547e+05
10000;6.418e+03
10000;2.408e+04
10000;2.022e+04
10000;7.238e+04
10000;3.557e+03
10000;2.914e+04
10000;4.459e+03
10000;1.259e+04
10000;2.702e+04
10000;7.817e+03
10000;1.121e+05
10000;6.127e+04
10000;1.269e+04
10000;6.805e+03
10000;2.857e+04
10000;6.122e+03
10000;1.526e+05
10000;4.099e+04
10000;2.943e+04
10000;3.158e+04
10000;5.487e+04
10000;3.888e+04
10000;1.404e+05
10000;3.514e+05
10000;2.964e+03
10000;1.871e+04
10000;5.179e+03
10000;1.023e+04
10000;3.121e+04
10000;3.276e+03
10000;8.020e+02
10000;2.277e+04
10000;5.302e+03
10000;9.975e+03
10000;2.317e+04
10000;1.069e+04
10000;8.054e+04
10000;2.609e+04
10000;4.434e+04
10000;1.400e+04
10000;8.543e+04
10000;5.914e+03
10000;1.760e+03
10000;1.635e+03
10000;1.536e+05
10000;1.564e+03
10000;8.481e+03
10000;4.551e+04
10000;2.586e+04
10000;2.988e+04
10000;3.355e+04
10000;4.194e+04
10000;3.310e+02
10000;3.325e+03
10000;2.309e+04
10000;8.676e+04
10000;5.747e+03
10000;2.372e+03
10000;5.680e+03
10000;5.861e+03
10000;6.638e+04
50000;1.355e+09
50000;4.936e+04
50000;9.260e+04
50000;6.489e+05
50000;3.224e+05
50000;6.310e+03
50000;1.850e+03
50000;5.431e+05
50000;3.636e+04
50000;1.208e+04
