n;t_ns
314;1.820e+02
314;1.970e+02
314;1.840e+02
314;1.860e+02
314;1.920e+02
314;1.920e+02
314;1.910e+02
314;1.900e+02
314;1.850e+02
314;1.860e+02
314;1.960e+02
1000;5.210e+02
1000;5.210e+02
1000;5.150e+02
1000;5.100e+02
1000;5.210e+02
1000;5.170e+02
1000;5.030e+02
1000;5.260e+02
1000;5.090e+02
1000;5.100e+02
1000;5.100e+02
3141;1.641e+03
3141;1.620e+03
3141;1.686e+03
3141;1.643e+03
3141;1.636e+03
3141;1.658e+03
3141;1.616e+03
3141;1.607e+03
3141;1.647e+03
3141;1.621e+03
3141;1.620e+03
10000;5.293e+03
10000;5.221e+03
10000;5.183e+03
10000;5.137e+03
10000;5.095e+03
10000;5.105e+03
10000;5.453e+03
10000;5.247e+03
10000;5.300e+03
10000;5.224e+03
10000;5.217e+03
31415;1.734e+04
31415;1.664e+04
31415;1.664e+04
31415;1.624e+04
31415;1.613e+04
31415;1.605e+04
31415;1.609e+04
31415;1.599e+04
31415;1.584e+04
31415;1.585e+04
31415;1.599e+04
100000;5.579e+04
100000;5.644e+04
100000;5.329e+04
100000;5.371e+04
100000;5.312e+04
100000;5.228e+04
100000;5.208e+04
100000;5.197e+04
100000;5.170e+04
100000;5.152e+04
100000;5.182e+04
