n;t_ns
314;1.900e+02
314;1.760e+02
314;1.780e+02
314;1.770e+02
314;1.770e+02
314;1.790e+02
314;1.750e+02
314;1.790e+02
314;1.770e+02
314;1.810e+02
314;1.900e+02
314;1.790e+02
314;1.770e+02
314;1.790e+02
314;1.800e+02
314;1.800e+02
314;1.820e+02
314;1.790e+02
314;1.760e+02
314;1.780e+02
314;1.780e+02
1000;5.640e+02
1000;5.490e+02
1000;5.420e+02
1000;5.140e+02
1000;5.320e+02
1000;5.090e+02
1000;5.010e+02
1000;5.010e+02
1000;5.140e+02
1000;5.010e+02
1000;5.140e+02
1000;5.000e+02
1000;5.220e+02
1000;5.040e+02
1000;5.570e+02
1000;5.290e+02
1000;5.190e+02
1000;5.070e+02
1000;5.690e+02
1000;5.430e+02
1000;5.100e+02
3141;1.702e+03
3141;1.672e+03
3141;1.671e+03
3141;1.662e+03
3141;1.676e+03
3141;1.650e+03
3141;1.658e+03
3141;1.635e+03
3141;1.645e+03
3141;1.630e+03
3141;1.660e+03
3141;1.622e+03
3141;1.621e+03
3141;1.611e+03
3141;1.621e+03
3141;1.599e+03
3141;1.624e+03
3141;1.597e+03
3141;1.601e+03
3141;1.583e+03
3141;1.593e+03
10000;5.312e+03
10000;5.281e+03
10000;5.320e+03
10000;5.286e+03
10000;5.320e+03
10000;5.268e+03
10000;5.299e+03
10000;5.268e+03
10000;5.313e+03
10000;5.300e+03
10000;5.290e+03
10000;5.331e+03
10000;5.276e+03
10000;5.302e+03
10000;5.287e+03
10000;5.283e+03
10000;5.255e+03
10000;5.287e+03
10000;5.241e+03
10000;5.308e+03
10000;5.258e+03
31415;1.673e+04
31415;1.662e+04
31415;1.658e+04
31415;1.666e+04
31415;1.656e+04
31415;1.653e+04
31415;1.654e+04
31415;1.652e+04
31415;1.662e+04
31415;1.661e+04
31415;1.650e+04
31415;1.655e+04
31415;1.666e+04
31415;1.654e+04
31415;1.660e+04
31415;1.659e+04
31415;1.649e+04
31415;1.660e+04
31415;1.657e+04
31415;1.657e+04
31415;1.656e+04
100000;5.241e+04
100000;5.250e+04
100000;5.249e+04
100000;5.229e+04
100000;5.236e+04
100000;5.248e+04
100000;5.257e+04
100000;5.274e+04
100000;5.256e+04
100000;5.237e+04
100000;5.247e+04
100000;5.200e+04
100000;5.227e+04
100000;5.223e+04
100000;5.254e+04
100000;5.234e+04
100000;5.231e+04
100000;5.249e+04
100000;5.239e+04
100000;5.226e+04
100000;5.229e+04
314159;1.647e+05
314159;1.650e+05
314159;1.642e+05
314159;1.656e+05
314159;1.658e+05
314159;1.652e+05
314159;1.662e+05
314159;1.662e+05
314159;1.651e+05
314159;1.656e+05
314159;1.652e+05
314159;1.649e+05
314159;1.654e+05
314159;1.652e+05
314159;1.648e+05
314159;1.659e+05
314159;1.652e+05
314159;1.652e+05
314159;1.651e+05
314159;1.651e+05
314159;1.655e+05
1000000;5.267e+05
1000000;5.251e+05
1000000;5.250e+05
1000000;5.271e+05
1000000;5.269e+05
1000000;5.272e+05
1000000;5.269e+05
1000000;5.255e+05
1000000;5.254e+05
1000000;5.243e+05
1000000;5.255e+05
1000000;5.248e+05
1000000;5.264e+05
1000000;5.259e+05
1000000;5.269e+05
1000000;5.261e+05
1000000;5.261e+05
1000000;5.252e+05
1000000;5.251e+05
1000000;5.230e+05
1000000;5.244e+05
