n;t_ns
314;1.710e+02
314;1.630e+02
314;1.620e+02
314;1.620e+02
314;1.590e+02
314;1.660e+02
314;1.610e+02
314;1.600e+02
314;1.600e+02
314;1.600e+02
314;1.600e+02
1000;5.140e+02
1000;4.690e+02
1000;4.520e+02
1000;4.360e+02
1000;4.260e+02
1000;4.250e+02
1000;4.220e+02
1000;4.190e+02
1000;4.180e+02
1000;4.150e+02
1000;4.150e+02
3141;1.682e+03
3141;1.647e+03
3141;1.645e+03
3141;1.627e+03
3141;1.597e+03
3141;1.581e+03
3141;1.576e+03
3141;1.573e+03
3141;1.549e+03
3141;1.527e+03
3141;1.514e+03
10000;5.547e+03
10000;5.473e+03
10000;5.574e+03
10000;5.405e+03
10000;5.321e+03
10000;5.450e+03
10000;5.482e+03
10000;5.391e+03
10000;5.466e+03
10000;5.335e+03
10000;5.353e+03
31415;1.656e+04
31415;1.642e+04
31415;1.647e+04
31415;1.650e+04
31415;1.652e+04
31415;1.662e+04
31415;1.700e+04
31415;1.664e+04
31415;1.696e+04
31415;1.674e+04
31415;1.704e+04
100000;5.352e+04
100000;5.339e+04
100000;5.334e+04
100000;5.297e+04
100000;5.312e+04
100000;5.271e+04
100000;5.317e+04
100000;5.268e+04
100000;5.243e+04
100000;5.287e+04
100000;5.369e+04
