n;t_ns
314;2.020e+02
314;1.880e+02
314;1.870e+02
314;1.870e+02
314;2.040e+02
314;1.880e+02
314;1.890e+02
314;1.870e+02
314;1.940e+02
314;1.870e+02
314;1.870e+02
1000;5.570e+02
1000;5.540e+02
1000;5.540e+02
1000;5.530e+02
1000;5.530e+02
1000;5.580e+02
1000;5.530e+02
1000;5.530e+02
1000;5.540e+02
1000;5.470e+02
1000;5.490e+02
3141;1.654e+03
3141;1.678e+03
3141;1.687e+03
3141;1.657e+03
3141;1.686e+03
3141;1.664e+03
3141;1.659e+03
3141;1.672e+03
3141;1.647e+03
3141;1.659e+03
3141;1.655e+03
10000;5.204e+03
10000;5.212e+03
10000;5.200e+03
10000;5.221e+03
10000;5.211e+03
10000;5.234e+03
10000;5.200e+03
10000;5.213e+03
10000;5.187e+03
10000;5.226e+03
10000;5.207e+03
31415;1.634e+04
31415;1.633e+04
31415;1.639e+04
31415;1.632e+04
31415;1.627e+04
31415;1.626e+04
31415;1.639e+04
31415;1.639e+04
31415;1.634e+04
31415;1.632e+04
31415;1.640e+04
100000;5.213e+04
100000;5.208e+04
100000;5.194e+04
100000;5.348e+04
100000;5.272e+04
100000;5.249e+04
100000;5.220e+04
100000;5.214e+04
100000;5.223e+04
100000;5.220e+04
100000;5.253e+04
