n;t_ns
500;4.220e+02
500;9.900e+01
500;3.720e+02
500;4.250e+02
500;6.500e+01
500;2.970e+02
500;1.730e+02
500;4.400e+01
500;1.000e+02
500;3.400e+02
500;4.230e+02
500;3.970e+02
500;4.240e+02
500;1.410e+02
500;4.600e+01
500;1.760e+02
500;2.930e+02
500;1.330e+02
500;4.270e+02
500;4.430e+02
500;1.490e+02
500;4.270e+02
500;3.500e+01
500;4.310e+02
500;3.180e+02
500;1.560e+02
500;4.370e+02
500;9.000e+00
500;1.310e+02
500;4.390e+02
500;4.440e+02
500;3.630e+02
500;9.900e+01
500;3.950e+02
500;1.390e+02
500;3.790e+02
500;4.400e+02
500;4.410e+02
500;4.400e+02
500;4.390e+02
500;1.400e+02
500;9.700e+01
500;3.100e+01
500;2.490e+02
500;1.050e+02
500;4.410e+02
500;4.390e+02
500;2.410e+02
500;9.300e+01
500;2.800e+01
500;9.400e+01
500;4.450e+02
500;2.340e+02
500;4.400e+02
500;3.860e+02
500;4.430e+02
500;4.390e+02
500;4.450e+02
500;4.410e+02
500;1.450e+02
500;4.470e+02
500;4.460e+02
500;4.450e+02
500;4.520e+02
500;4.410e+02
500;2.980e+02
500;8.300e+01
500;3.540e+02
500;2.980e+02
500;4.100e+01
500;4.400e+02
500;1.580e+02
500;3.000e+00
500;4.420e+02
500;1.220e+02
500;1.910e+02
500;1.220e+02
500;4.430e+02
500;2.800e+02
500;4.030e+02
500;3.000e+02
500;3.000e+00
500;4.420e+02
500;4.450e+02
500;3.560e+02
500;4.430e+02
500;8.000e+01
500;7.000e+00
500;4.440e+02
500;3.460e+02
500;1.160e+02
500;3.880e+02
500;3.300e+01
500;4.440e+02
500;4.430e+02
500;1.100e+01
500;7.000e+00
500;1.430e+02
500;1.280e+02
500;2.000e+01
500;3.980e+02
1000;8.810e+02
1000;9.030e+02
1000;2.780e+02
1000;1.190e+02
1000;8.780e+02
1000;8.200e+01
1000;8.810e+02
1000;8.900e+02
1000;4.620e+02
1000;8.830e+02
1000;1.090e+02
1000;9.400e+01
1000;4.150e+02
1000;4.160e+02
1000;2.240e+02
1000;8.800e+02
1000;2.690e+02
1000;6.000e+01
1000;5.220e+02
1000;2.860e+02
1000;2.690e+02
1000;4.090e+02
1000;3.860e+02
1000;7.990e+02
1000;1.110e+02
1000;1.340e+02
1000;8.790e+02
1000;8.810e+02
1000;8.800e+02
1000;4.250e+02
1000;8.790e+02
1000;1.000e+02
1000;4.460e+02
1000;8.770e+02
1000;4.950e+02
1000;5.510e+02
1000;2.730e+02
1000;7.030e+02
1000;8.780e+02
1000;8.790e+02
1000;6.350e+02
1000;7.300e+01
1000;5.330e+02
1000;8.790e+02
1000;8.790e+02
1000;1.370e+02
1000;8.200e+01
1000;1.430e+02
1000;2.930e+02
1000;3.280e+02
1000;3.600e+01
1000;3.200e+01
1000;8.810e+02
1000;7.000e+01
1000;2.480e+02
1000;8.910e+02
1000;7.090e+02
1000;1.340e+02
1000;1.320e+02
1000;3.220e+02
1000;1.710e+02
1000;8.870e+02
1000;8.810e+02
1000;3.290e+02
1000;8.650e+02
1000;2.000e+01
1000;8.740e+02
1000;8.740e+02
1000;8.800e+02
1000;8.760e+02
1000;8.750e+02
1000;8.790e+02
1000;8.860e+02
1000;2.910e+02
1000;8.720e+02
1000;8.740e+02
1000;8.940e+02
1000;4.310e+02
1000;8.750e+02
1000;1.260e+02
1000;8.770e+02
1000;7.900e+02
1000;3.120e+02
1000;7.310e+02
1000;8.770e+02
1000;1.640e+02
1000;8.920e+02
1000;1.800e+01
1000;4.630e+02
1000;8.740e+02
1000;7.380e+02
1000;9.800e+01
1000;8.770e+02
1000;8.760e+02
1000;6.100e+01
1000;4.250e+02
1000;5.560e+02
1000;3.200e+01
1000;7.920e+02
1000;8.680e+02
1000;8.520e+02
5000;4.213e+03
5000;9.000e+01
5000;3.076e+03
5000;1.734e+03
5000;1.305e+03
5000;3.695e+03
5000;3.592e+03
5000;1.013e+03
5000;1.228e+03
5000;4.173e+03
5000;4.185e+03
5000;4.185e+03
5000;6.270e+02
5000;2.136e+03
5000;1.230e+02
5000;6.860e+02
5000;1.768e+03
5000;4.124e+03
5000;1.446e+03
5000;1.143e+03
5000;4.174e+03
5000;1.145e+03
5000;4.185e+03
5000;2.189e+03
5000;7.120e+02
5000;4.153e+03
5000;4.216e+03
5000;1.784e+03
5000;1.708e+03
5000;4.284e+03
5000;4.223e+03
5000;4.229e+03
5000;1.216e+03
5000;2.557e+03
5000;4.203e+03
5000;4.218e+03
5000;2.191e+03
5000;4.184e+03
5000;4.188e+03
5000;4.191e+03
5000;1.260e+02
5000;2.140e+02
5000;1.788e+03
5000;2.660e+02
5000;4.339e+03
5000;4.485e+03
5000;3.653e+03
5000;9.730e+02
5000;4.283e+03
5000;3.119e+03
5000;3.723e+03
5000;4.233e+03
5000;2.282e+03
5000;1.412e+03
5000;1.210e+02
5000;1.239e+03
5000;1.400e+01
5000;1.047e+03
5000;3.905e+03
5000;4.243e+03
5000;4.240e+03
5000;4.247e+03
5000;4.254e+03
5000;1.851e+03
5000;5.310e+02
5000;1.529e+03
5000;1.192e+03
5000;1.190e+02
5000;4.230e+03
5000;3.257e+03
5000;1.640e+03
5000;9.710e+02
5000;1.011e+03
5000;4.239e+03
5000;4.238e+03
5000;1.000e+03
5000;4.273e+03
5000;3.103e+03
5000;4.108e+03
5000;4.218e+03
5000;2.341e+03
5000;4.551e+03
5000;3.516e+03
5000;7.600e+02
5000;1.356e+03
5000;3.376e+03
5000;4.298e+03
5000;3.278e+03
5000;4.319e+03
5000;6.020e+02
5000;4.275e+03
5000;1.756e+03
5000;2.264e+03
5000;2.906e+03
5000;1.770e+02
5000;2.148e+03
5000;2.346e+03
5000;3.607e+03
5000;4.252e+03
5000;4.490e+02
5000;1.087e+03
10000;8.567e+03
10000;3.448e+03
10000;1.529e+03
10000;1.095e+03
10000;1.877e+03
10000;8.475e+03
10000;3.974e+03
10000;8.446e+03
10000;2.979e+03
10000;8.437e+03
10000;8.447e+03
10000;8.433e+03
10000;8.427e+03
10000;1.640e+03
10000;8.441e+03
10000;8.447e+03
10000;2.479e+03
10000;6.170e+02
10000;8.557e+03
10000;8.500e+01
10000;6.394e+03
10000;4.446e+03
10000;8.445e+03
10000;8.426e+03
10000;2.227e+03
10000;8.425e+03
10000;8.540e+03
10000;8.407e+03
10000;8.458e+03
10000;6.910e+03
10000;7.990e+02
10000;2.040e+03
10000;8.486e+03
10000;8.459e+03
10000;2.388e+03
10000;8.593e+03
10000;1.299e+03
10000;1.082e+03
10000;8.436e+03
10000;8.437e+03
10000;4.062e+03
10000;1.222e+03
10000;5.882e+03
10000;2.688e+03
10000;4.919e+03
10000;8.555e+03
10000;1.316e+03
10000;8.411e+03
10000;8.421e+03
10000;8.429e+03
10000;4.234e+03
10000;1.909e+03
10000;8.416e+03
10000;1.432e+03
10000;5.568e+03
10000;4.759e+03
10000;7.144e+03
10000;8.353e+03
10000;7.927e+03
10000;5.613e+03
10000;6.349e+03
10000;8.403e+03
10000;7.608e+03
10000;2.139e+03
10000;6.161e+03
10000;8.445e+03
10000;8.428e+03
10000;5.307e+03
10000;8.413e+03
10000;7.434e+03
10000;5.561e+03
10000;1.469e+03
10000;7.327e+03
10000;3.306e+03
10000;1.465e+03
10000;4.570e+03
10000;3.769e+03
10000;7.985e+03
10000;4.705e+03
10000;8.539e+03
10000;8.399e+03
10000;8.403e+03
10000;8.425e+03
10000;2.929e+03
10000;8.435e+03
10000;3.728e+03
10000;8.554e+03
10000;8.017e+03
10000;9.490e+02
10000;1.615e+03
10000;3.447e+03
10000;1.990e+03
10000;8.412e+03
10000;8.421e+03
10000;8.413e+03
10000;8.542e+03
10000;1.640e+03
10000;7.525e+03
10000;1.427e+03
10000;4.364e+03
10000;1.524e+03
50000;4.224e+04
50000;4.206e+04
50000;4.209e+04
50000;4.274e+04
50000;4.206e+04
50000;1.425e+04
50000;4.197e+04
50000;4.217e+04
50000;4.206e+04
50000;3.387e+04
50000;4.574e+03
50000;1.425e+04
50000;4.273e+04
50000;1.198e+04
50000;1.182e+04
50000;4.202e+04
50000;4.370e+04
50000;1.568e+03
50000;1.857e+04
50000;4.012e+03
50000;3.056e+04
50000;8.300e+02
50000;3.709e+04
50000;2.025e+04
50000;4.226e+04
50000;4.209e+04
50000;2.376e+04
50000;4.204e+04
50000;4.204e+04
50000;1.243e+04
50000;3.055e+03
50000;4.268e+04
50000;4.200e+04
50000;1.206e+04
50000;4.201e+04
50000;4.204e+04
50000;4.222e+04
50000;3.244e+04
50000;4.274e+04
50000;2.836e+04
50000;4.351e+03
50000;1.631e+04
50000;3.777e+03
50000;5.940e+02
50000;4.201e+04
50000;3.896e+04
50000;2.213e+03
50000;6.165e+03
50000;9.848e+03
50000;4.198e+04
50000;5.875e+03
50000;4.256e+04
50000;6.053e+03
50000;5.861e+03
50000;1.088e+04
50000;3.245e+04
50000;4.875e+03
50000;2.713e+04
50000;8.998e+03
50000;3.064e+04
50000;2.112e+04
50000;1.048e+04
50000;6.373e+03
50000;7.018e+03
50000;1.628e+04
50000;1.561e+03
50000;2.011e+04
50000;2.580e+04
50000;3.205e+03
50000;4.236e+04
50000;4.186e+04
50000;1.459e+04
50000;3.623e+04
50000;1.218e+04
50000;4.179e+04
50000;3.120e+04
50000;8.552e+03
50000;4.238e+04
50000;1.744e+04
50000;4.173e+04
50000;4.187e+04
50000;4.182e+04
50000;1.378e+04
50000;4.187e+04
50000;5.874e+03
50000;4.245e+04
50000;4.192e+04
50000;1.356e+04
50000;4.178e+04
50000;1.356e+04
50000;4.071e+04
50000;4.182e+04
50000;4.200e+04
50000;3.280e+04
50000;4.169e+04
50000;4.178e+04
50000;4.198e+04
50000;2.211e+03
50000;4.180e+04
50000;4.183e+04
50000;4.111e+04
100000;8.348e+04
100000;6.705e+04
100000;8.341e+04
100000;3.099e+04
100000;2.824e+04
100000;8.357e+04
100000;8.412e+04
100000;2.228e+04
100000;2.236e+04
100000;8.366e+04
100000;5.434e+04
100000;2.316e+04
100000;1.646e+04
100000;6.104e+04
100000;3.219e+03
