n;t_ns
500;1.640e+01
500;1.635e+01
500;1.676e+01
500;1.704e+01
500;1.682e+01
500;1.689e+01
500;1.739e+01
500;1.704e+01
500;1.688e+01
500;1.691e+01
500;1.735e+01
500;1.687e+01
500;1.710e+01
500;1.680e+01
500;1.682e+01
500;1.686e+01
500;1.682e+01
500;1.684e+01
500;1.679e+01
500;1.681e+01
500;1.675e+01
500;1.677e+01
500;1.677e+01
500;1.678e+01
500;1.668e+01
500;1.677e+01
500;1.765e+01
500;1.791e+01
500;1.719e+01
500;1.684e+01
500;1.698e+01
500;1.696e+01
500;1.695e+01
500;1.677e+01
500;1.682e+01
500;1.688e+01
500;1.680e+01
500;1.675e+01
500;1.678e+01
500;1.676e+01
500;1.685e+01
500;1.674e+01
500;1.675e+01
500;1.682e+01
500;1.678e+01
500;1.835e+01
500;1.680e+01
500;1.688e+01
500;1.678e+01
500;1.699e+01
500;1.679e+01
500;1.683e+01
500;1.678e+01
500;1.677e+01
500;1.701e+01
500;1.677e+01
500;1.680e+01
500;1.678e+01
500;1.670e+01
500;1.696e+01
500;1.679e+01
500;1.675e+01
500;1.677e+01
500;1.697e+01
500;1.679e+01
500;1.673e+01
500;1.682e+01
500;1.691e+01
500;1.681e+01
500;1.677e+01
500;1.673e+01
500;1.676e+01
500;1.671e+01
500;1.705e+01
500;1.683e+01
500;1.681e+01
500;1.683e+01
500;1.688e+01
500;1.672e+01
500;1.680e+01
500;1.672e+01
500;1.687e+01
500;1.675e+01
500;1.665e+01
500;1.675e+01
500;1.682e+01
500;1.672e+01
500;1.677e+01
500;1.676e+01
500;1.676e+01
500;1.683e+01
500;1.683e+01
500;1.666e+01
500;1.675e+01
500;1.676e+01
500;2.342e+01
500;1.677e+01
500;1.638e+01
500;1.697e+01
500;1.676e+01
500;1.684e+01
1000;1.938e+01
1000;1.862e+01
1000;1.855e+01
1000;1.842e+01
1000;1.882e+01
1000;1.864e+01
1000;1.850e+01
1000;1.850e+01
1000;2.424e+01
1000;2.287e+01
1000;1.810e+01
1000;1.843e+01
1000;1.843e+01
1000;1.863e+01
1000;1.863e+01
1000;1.850e+01
1000;1.888e+01
1000;1.852e+01
1000;1.854e+01
1000;1.863e+01
1000;1.839e+01
1000;1.839e+01
1000;1.842e+01
1000;1.866e+01
1000;1.878e+01
1000;1.864e+01
1000;1.849e+01
1000;1.856e+01
1000;1.835e+01
1000;1.854e+01
1000;1.839e+01
1000;1.852e+01
1000;1.853e+01
1000;1.856e+01
1000;1.850e+01
1000;1.856e+01
1000;1.840e+01
1000;1.840e+01
1000;1.852e+01
1000;1.849e+01
1000;1.840e+01
1000;1.846e+01
1000;1.852e+01
1000;1.852e+01
1000;1.844e+01
1000;1.837e+01
1000;1.854e+01
1000;1.838e+01
1000;1.839e+01
1000;1.853e+01
1000;1.879e+01
1000;3.611e+01
1000;1.856e+01
1000;1.801e+01
1000;1.826e+01
1000;1.848e+01
1000;1.850e+01
1000;1.863e+01
1000;1.888e+01
1000;1.869e+01
1000;1.852e+01
1000;1.851e+01
1000;1.852e+01
1000;1.844e+01
1000;1.841e+01
1000;1.858e+01
1000;1.909e+01
1000;1.877e+01
1000;1.852e+01
1000;1.856e+01
1000;1.857e+01
1000;1.856e+01
1000;1.851e+01
1000;1.849e+01
1000;1.856e+01
1000;1.870e+01
1000;1.847e+01
1000;1.850e+01
1000;1.862e+01
1000;1.850e+01
1000;1.850e+01
1000;1.849e+01
1000;1.850e+01
1000;1.876e+01
1000;1.861e+01
1000;1.860e+01
1000;1.856e+01
1000;1.854e+01
1000;1.849e+01
1000;1.840e+01
1000;1.852e+01
1000;1.895e+01
1000;1.922e+01
1000;1.866e+01
1000;1.861e+01
1000;1.854e+01
1000;1.849e+01
1000;1.849e+01
1000;1.852e+01
1000;1.879e+01
1000;1.948e+01
5000;2.378e+01
5000;2.372e+01
5000;2.377e+01
5000;2.375e+01
5000;2.364e+01
5000;2.362e+01
5000;2.389e+01
5000;2.405e+01
5000;2.391e+01
5000;2.379e+01
5000;2.402e+01
5000;2.388e+01
5000;2.365e+01
5000;2.364e+01
5000;2.429e+01
5000;2.364e+01
5000;2.364e+01
5000;2.373e+01
5000;2.386e+01
5000;2.364e+01
5000;2.364e+01
5000;2.365e+01
5000;2.397e+01
5000;2.364e+01
5000;2.364e+01
5000;2.409e+01
5000;2.362e+01
5000;2.380e+01
5000;2.388e+01
5000;2.378e+01
5000;2.377e+01
5000;2.583e+01
5000;2.406e+01
5000;2.377e+01
5000;2.377e+01
5000;2.407e+01
5000;2.377e+01
5000;2.377e+01
5000;2.402e+01
5000;2.414e+01
5000;2.393e+01
5000;2.395e+01
5000;2.436e+01
5000;2.432e+01
5000;2.376e+01
5000;2.377e+01
5000;2.376e+01
5000;2.407e+01
5000;2.377e+01
5000;2.386e+01
5000;2.376e+01
5000;2.377e+01
5000;2.538e+01
5000;2.455e+01
5000;2.377e+01
5000;2.377e+01
5000;2.516e+01
5000;2.504e+01
5000;2.378e+01
5000;2.376e+01
5000;2.400e+01
5000;2.377e+01
5000;2.377e+01
5000;2.377e+01
5000;2.398e+01
5000;2.379e+01
5000;2.377e+01
5000;2.378e+01
5000;2.395e+01
5000;2.379e+01
5000;2.378e+01
5000;2.379e+01
5000;2.395e+01
5000;2.377e+01
5000;2.376e+01
5000;2.377e+01
5000;2.396e+01
5000;2.421e+01
5000;2.402e+01
5000;2.391e+01
5000;2.428e+01
5000;2.404e+01
5000;2.377e+01
5000;2.377e+01
5000;2.411e+01
5000;2.380e+01
5000;2.380e+01
5000;2.380e+01
5000;2.427e+01
5000;2.379e+01
5000;2.377e+01
5000;2.377e+01
5000;2.398e+01
5000;2.380e+01
5000;2.379e+01
5000;2.379e+01
5000;2.379e+01
5000;2.459e+01
5000;2.376e+01
