n;t_ns
500;7.329e+02
500;6.690e+02
500;4.664e+02
500;3.076e+02
500;5.052e+02
500;3.059e+02
500;1.745e+02
500;8.250e+01
500;3.067e+02
500;2.699e+02
500;1.547e+02
500;6.505e+02
500;7.322e+02
500;4.341e+02
500;4.389e+02
500;4.116e+02
500;6.640e+01
500;5.841e+02
500;1.492e+02
500;1.280e+03
500;3.950e+01
500;3.079e+02
500;3.019e+02
500;1.811e+02
500;1.875e+02
500;7.214e+02
500;1.441e+02
500;3.997e+02
500;7.281e+02
500;1.925e+02
500;6.000e+01
500;2.538e+02
500;1.949e+02
500;2.214e+02
500;4.975e+01
500;3.405e+02
500;6.358e+02
500;5.829e+02
500;2.532e+02
500;5.090e+01
500;7.264e+02
500;5.069e+02
500;6.000e+02
500;1.149e+02
500;4.793e+02
500;5.544e+02
500;4.224e+02
500;5.053e+02
500;7.269e+02
500;4.740e+02
500;2.905e+02
500;5.232e+02
500;5.034e+02
500;1.989e+02
500;3.067e+02
500;2.725e+02
500;2.375e+02
500;3.024e+02
500;2.659e+02
500;3.328e+02
500;5.163e+02
500;6.726e+02
500;3.951e+02
500;5.067e+02
500;1.322e+02
500;2.918e+02
500;2.760e+02
500;4.959e+02
500;3.248e+02
500;3.229e+02
500;4.879e+02
500;6.770e+02
500;6.890e+02
500;1.352e+02
500;2.905e+01
500;6.875e+01
500;5.139e+02
500;6.265e+02
500;1.522e+02
500;1.434e+02
500;6.599e+02
500;6.646e+02
500;2.905e+01
500;4.734e+02
500;4.359e+02
500;5.162e+02
500;3.484e+02
500;3.221e+02
500;3.251e+02
500;6.844e+02
500;4.367e+02
500;5.443e+02
500;6.215e+02
500;3.664e+02
500;2.828e+02
500;3.497e+02
500;7.099e+02
500;1.064e+02
500;3.872e+02
500;7.219e+02
500;1.476e+02
1000;1.788e+03
1000;1.436e+03
1000;4.811e+02
1000;1.207e+03
1000;6.666e+02
1000;1.380e+03
1000;6.515e+02
1000;6.345e+02
1000;6.177e+02
1000;8.234e+02
1000;1.175e+03
1000;5.094e+02
1000;1.149e+03
1000;9.478e+02
1000;5.246e+02
1000;2.570e+01
1000;8.023e+02
1000;5.665e+02
1000;1.275e+03
1000;9.880e+02
1000;8.080e+02
1000;6.699e+02
1000;6.535e+02
1000;1.013e+03
1000;1.261e+02
1000;3.165e+02
1000;1.211e+03
1000;7.898e+02
1000;7.530e+01
1000;2.803e+02
1000;3.790e+01
1000;1.094e+03
1000;1.179e+03
1000;9.195e+02
1000;2.049e+02
1000;1.270e+03
1000;9.883e+02
1000;1.407e+03
1000;5.017e+02
1000;9.920e+01
1000;1.364e+03
1000;5.427e+02
1000;5.288e+02
1000;1.215e+03
1000;5.941e+02
1000;1.089e+03
1000;7.333e+02
1000;3.801e+02
1000;3.829e+02
1000;1.176e+03
1000;2.906e+02
1000;1.077e+03
1000;1.366e+03
1000;1.558e+02
1000;3.382e+02
1000;3.010e+02
1000;6.410e+02
1000;2.622e+02
1000;1.055e+03
1000;5.130e+02
1000;7.489e+02
1000;1.125e+03
1000;7.950e+02
1000;7.519e+02
1000;2.010e+02
1000;7.370e+01
1000;1.119e+03
1000;9.415e+02
1000;3.424e+02
1000;6.763e+02
1000;4.890e+02
1000;9.243e+02
1000;1.291e+03
1000;8.451e+02
1000;1.975e+02
1000;5.907e+02
1000;1.419e+03
1000;1.002e+03
1000;1.388e+03
1000;6.451e+02
1000;5.108e+02
1000;9.438e+02
1000;5.890e+01
1000;1.256e+03
1000;1.612e+02
1000;1.114e+03
1000;9.003e+02
1000;4.733e+02
1000;6.871e+02
1000;1.428e+03
1000;7.639e+02
1000;1.950e+01
1000;5.590e+02
1000;8.119e+02
1000;4.040e+01
1000;5.729e+02
1000;1.355e+03
1000;8.640e+01
1000;1.159e+03
1000;9.911e+02
1000;1.107e+03
5000;8.504e+03
5000;4.714e+03
5000;2.060e+02
5000;2.340e+03
5000;1.806e+03
5000;3.248e+03
5000;6.390e+03
5000;6.148e+03
5000;3.467e+03
5000;1.720e+03
5000;4.175e+02
5000;6.786e+03
5000;1.137e+03
5000;5.351e+03
5000;6.286e+03
5000;4.276e+03
