n,t_ns,swaps
100,4.4000000000e+03,258
100,4.6000000000e+03,296
100,4.0000000000e+03,243
100,4.5000000000e+03,278
100,3.8000000000e+03,219
100,4.7000000000e+03,314
100,4.4000000000e+03,269
100,4.6000000000e+03,291
100,4.7000000000e+03,314
100,4.4000000000e+03,278
200,1.1100000000e+04,771
200,1.1200000000e+04,832
200,1.0900000000e+04,750
200,1.0700000000e+04,724
200,1.0100000000e+04,669
200,1.0800000000e+04,705
200,1.1100000000e+04,785
200,1.1100000000e+04,784
200,1.1000000000e+04,774
200,1.0600000000e+04,700
500,3.4800000000e+04,2621
500,3.5400000000e+04,2570
500,3.5200000000e+04,2687
500,3.7600000000e+04,3077
500,3.6200000000e+04,2720
500,3.4800000000e+04,2491
500,3.4700000000e+04,2514
500,3.5500000000e+04,2697
500,3.5400000000e+04,2584
500,3.6000000000e+04,2686
1000,8.8300000000e+04,7384
1000,9.0300000000e+04,7758
1000,8.5800000000e+04,6799
1000,8.8500000000e+04,7448
1000,8.3000000000e+04,6228
1000,8.7500000000e+04,7118
1000,8.3500000000e+04,6537
1000,9.0400000000e+04,7801
1000,9.5700000000e+04,7565
1000,8.5800000000e+04,6671
2000,2.0630000000e+05,17769
2000,2.0580000000e+05,17490
2000,2.1220000000e+05,17571
2000,2.0530000000e+05,17259
2000,2.0920000000e+05,17806
2000,2.0390000000e+05,16978
2000,2.0640000000e+05,17318
2000,2.0650000000e+05,16182
2000,2.0100000000e+05,16559
2000,2.1000000000e+05,18588
5000,6.2250000000e+05,56216
5000,6.3410000000e+05,58116
5000,6.5060000000e+05,53842
5000,6.4190000000e+05,60643
5000,6.1320000000e+05,53894
5000,6.3990000000e+05,62825
5000,6.1280000000e+05,54028
5000,6.1110000000e+05,54045
5000,6.4500000000e+05,63233
5000,6.2480000000e+05,57384
10000,1.4220000000e+06,140709
10000,1.3926000000e+06,130090
10000,1.4174000000e+06,136442
10000,1.4710000000e+06,156639
10000,1.4124000000e+06,138176
10000,1.4229000000e+06,140150
10000,1.4835000000e+06,153776
10000,1.4861000000e+06,158921
10000,1.4844000000e+06,153593
10000,1.5010000000e+06,155679
