n,t_ns,swaps
100,4.7000000000e+03,411
100,4.5000000000e+03,355
100,4.4000000000e+03,369
100,4.6000000000e+03,363
100,4.2000000000e+03,375
100,4.7000000000e+03,437
100,4.4000000000e+03,392
100,4.5000000000e+03,390
100,4.3000000000e+03,375
100,4.8000000000e+03,442
200,1.1600000000e+04,1106
200,1.1100000000e+04,1025
200,1.1300000000e+04,1053
200,1.0400000000e+04,881
200,1.0500000000e+04,948
200,1.1500000000e+04,1123
200,1.0800000000e+04,1044
200,1.1000000000e+04,1106
200,1.0400000000e+04,942
200,1.1100000000e+04,1046
500,3.1600000000e+04,2712
500,3.2200000000e+04,2803
500,3.2700000000e+04,2949
500,3.3300000000e+04,3097
500,3.3600000000e+04,3031
500,3.1400000000e+04,2747
500,3.1500000000e+04,2850
500,3.1700000000e+04,2786
500,3.3000000000e+04,3111
500,3.1700000000e+04,2845
1000,7.6000000000e+04,7106
1000,7.7200000000e+04,7316
1000,7.6500000000e+04,7061
1000,7.7800000000e+04,7573
1000,7.7000000000e+04,7393
1000,7.3600000000e+04,6597
1000,7.9400000000e+04,7991
1000,7.9800000000e+04,8077
1000,7.8800000000e+04,7699
1000,7.7000000000e+04,7298
2000,1.8920000000e+05,20273
2000,1.7970000000e+05,17850
2000,1.8590000000e+05,17479
2000,1.8000000000e+05,18025
2000,1.7940000000e+05,17804
2000,1.8000000000e+05,17044
2000,1.7650000000e+05,17368
2000,1.8280000000e+05,19053
2000,1.8130000000e+05,18687
2000,1.9130000000e+05,20698
5000,5.5980000000e+05,61403
5000,5.3710000000e+05,57279
5000,5.5260000000e+05,59379
5000,5.4720000000e+05,58379
5000,5.5200000000e+05,59917
5000,5.7720000000e+05,66865
5000,5.5590000000e+05,59624
5000,5.6860000000e+05,65267
5000,5.4790000000e+05,58427
5000,5.6340000000e+05,61598
10000,1.2935000000e+06,155757
10000,1.2582000000e+06,141916
10000,1.2654000000e+06,142449
10000,1.2424000000e+06,136456
10000,1.2610000000e+06,145376
10000,1.2898000000e+06,150359
10000,1.2701000000e+06,144019
10000,1.2883000000e+06,149596
10000,1.3222000000e+06,158643
10000,1.2975000000e+06,150805
