n,t_ns,swaps
100,4.7000000000e+03,411
100,4.4000000000e+03,355
100,4.2000000000e+03,369
100,4.4000000000e+03,363
100,4.1000000000e+03,375
100,4.5000000000e+03,437
100,4.2000000000e+03,392
100,4.3000000000e+03,390
100,4.3000000000e+03,375
100,4.7000000000e+03,442
112,5.6000000000e+03,555
112,4.8000000000e+03,390
112,5.1000000000e+03,438
112,4.8000000000e+03,410
112,4.8000000000e+03,401
112,5.7000000000e+03,548
112,5.1000000000e+03,473
112,5.8000000000e+03,557
112,5.3000000000e+03,504
112,5.6000000000e+03,539
126,5.9000000000e+03,474
126,5.9000000000e+03,468
126,5.5000000000e+03,456
126,5.7000000000e+03,504
126,5.7000000000e+03,520
126,5.0000000000e+03,393
126,5.8000000000e+03,505
126,5.7000000000e+03,510
126,5.2000000000e+03,444
126,5.7000000000e+03,479
142,6.5000000000e+03,472
142,6.4000000000e+03,490
142,6.4000000000e+03,522
142,6.3000000000e+03,527
142,6.0000000000e+03,470
142,6.1000000000e+03,473
142,7.1000000000e+03,639
142,5.9000000000e+03,482
142,6.3000000000e+03,541
142,6.2000000000e+03,502
159,7.2000000000e+03,582
159,7.1000000000e+03,557
159,7.1000000000e+03,554
159,7.7000000000e+03,662
159,7.7000000000e+03,647
159,7.7000000000e+03,668
159,7.0000000000e+03,553
159,7.3000000000e+03,633
159,7.2000000000e+03,639
159,7.6000000000e+03,660
179,8.9000000000e+03,806
179,9.0000000000e+03,815
179,8.9000000000e+03,772
179,9.2000000000e+03,793
179,9.0000000000e+03,802
179,9.2000000000e+03,832
179,8.3000000000e+03,698
179,9.3000000000e+03,846
179,8.9000000000e+03,740
179,9.0000000000e+03,789
201,1.0900000000e+04,995
201,1.1100000000e+04,1072
201,1.0600000000e+04,963
201,1.0600000000e+04,1000
201,1.0700000000e+04,1038
201,1.1000000000e+04,1084
201,1.1800000000e+04,1179
201,1.0300000000e+04,975
201,1.0800000000e+04,1011
201,1.0900000000e+04,1041
226,1.2300000000e+04,1165
226,1.3000000000e+04,1271
226,1.3100000000e+04,1176
226,1.2600000000e+04,1158
226,1.3100000000e+04,1278
226,1.2200000000e+04,1132
226,1.2900000000e+04,1234
226,1.2200000000e+04,1158
226,1.2700000000e+04,1196
226,1.2700000000e+04,1243
254,1.3000000000e+04,1109
254,1.4000000000e+04,1254
254,1.2900000000e+04,1051
254,1.3400000000e+04,1187
254,1.3400000000e+04,1189
254,1.4100000000e+04,1302
254,1.3000000000e+04,1110
254,1.3700000000e+04,1193
254,1.3500000000e+04,1172
254,1.3500000000e+04,1145
285,1.5800000000e+04,1324
285,1.6500000000e+04,1475
285,1.6900000000e+04,1551
285,1.5900000000e+04,1368
285,1.5300000000e+04,1354
285,1.5600000000e+04,1385
285,1.5500000000e+04,1471
285,1.5500000000e+04,1360
285,1.5400000000e+04,1353
285,1.5100000000e+04,1346
320,2.3700000000e+04,2885
320,2.1800000000e+04,2419
320,2.2400000000e+04,2604
320,2.2200000000e+04,2395
320,2.1100000000e+04,2093
320,2.2200000000e+04,2546
320,2.2000000000e+04,2476
320,2.1200000000e+04,2276
320,2.1800000000e+04,2362
320,2.0800000000e+04,2097
359,2.1200000000e+04,1879
359,2.1200000000e+04,1817
359,2.1800000000e+04,1975
359,2.4800000000e+04,1994
359,2.0800000000e+04,1853
359,5.3000000000e+04,1726
359,2.2000000000e+04,2036
359,2.1200000000e+04,1877
359,2.1400000000e+04,1977
359,2.1000000000e+04,1883
404,2.7100000000e+04,2523
404,2.7900000000e+04,2374
404,2.5500000000e+04,2417
404,2.6700000000e+04,2674
404,2.4300000000e+04,2335
404,2.4200000000e+04,2263
404,2.4600000000e+04,2381
404,2.4900000000e+04,2442
404,2.4600000000e+04,2391
404,2.6000000000e+04,2703
453,3.0800000000e+04,3036
453,3.0700000000e+04,3104
453,3.0800000000e+04,3049
453,3.1200000000e+04,3236
453,2.9600000000e+04,2884
453,3.0700000000e+04,3053
453,2.9900000000e+04,3007
453,3.0200000000e+04,3146
453,3.1200000000e+04,3243
453,3.1900000000e+04,3432
509,3.1300000000e+04,2757
509,3.3200000000e+04,2988
509,3.1400000000e+04,2710
509,3.1400000000e+04,2794
509,3.1600000000e+04,2917
509,3.1600000000e+04,2794
509,3.2600000000e+04,3026
509,3.1000000000e+04,2831
509,3.2800000000e+04,3101
509,3.1400000000e+04,2789
572,3.9600000000e+04,3529
572,3.7700000000e+04,3459
572,3.7000000000e+04,3319
572,3.6600000000e+04,3308
572,3.6900000000e+04,3267
572,3.6200000000e+04,3197
572,3.7000000000e+04,3260
572,3.8800000000e+04,3689
572,3.8300000000e+04,3589
572,3.5800000000e+04,3204
643,5.1400000000e+04,5640
643,5.2600000000e+04,6066
643,5.5300000000e+04,6971
643,5.1900000000e+04,6045
643,5.2400000000e+04,6018
643,4.9900000000e+04,5340
643,5.3200000000e+04,6024
643,5.3300000000e+04,6088
643,5.3500000000e+04,6377
643,5.4400000000e+04,5506
722,5.7200000000e+04,4758
722,5.1300000000e+04,4745
722,5.1400000000e+04,4807
722,5.2100000000e+04,4974
722,4.9700000000e+04,4445
722,5.0900000000e+04,4828
722,5.1100000000e+04,4839
722,5.1100000000e+04,4732
722,4.9800000000e+04,4669
722,5.2400000000e+04,5001
811,6.0100000000e+04,6075
811,7.5300000000e+04,6241
811,5.9200000000e+04,6031
811,5.7400000000e+04,5628
811,6.0600000000e+04,6232
811,5.9800000000e+04,6265
811,5.8800000000e+04,5970
811,6.0000000000e+04,6161
811,6.0200000000e+04,6198
811,6.1200000000e+04,6600
911,6.9900000000e+04,6759
911,7.3800000000e+04,8101
911,7.2600000000e+04,7787
911,7.1600000000e+04,7195
911,7.0400000000e+04,7160
911,8.3300000000e+04,7223
911,7.5300000000e+04,7272
911,7.7100000000e+04,7516
911,7.4200000000e+04,7188
911,7.5900000000e+04,7382
1024,1.2650000000e+05,18113
1024,1.1720000000e+05,15554
1024,1.2230000000e+05,17144
1024,1.1360000000e+05,14700
1024,1.2250000000e+05,17054
1024,1.1770000000e+05,15594
1024,1.1530000000e+05,15040
1024,1.2020000000e+05,16672
1024,1.2040000000e+05,16791
1024,1.3550000000e+05,21307
1150,9.1800000000e+04,7734
1150,9.4000000000e+04,8362
1150,9.5200000000e+04,8929
1150,9.0800000000e+04,8022
1150,9.2400000000e+04,8227
1150,9.3200000000e+04,8324
1150,9.4000000000e+04,8303
1150,9.3600000000e+04,8043
1150,9.4900000000e+04,8873
1150,1.0020000000e+05,9114
1292,1.2000000000e+05,12112
1292,1.1980000000e+05,12212
1292,1.2250000000e+05,12681
1292,1.2880000000e+05,14437
1292,1.2670000000e+05,14235
1292,1.2140000000e+05,12528
1292,1.2260000000e+05,12764
1292,1.3120000000e+05,13630
1292,1.2790000000e+05,13960
1292,1.2070000000e+05,12459
1451,1.2240000000e+05,11635
1451,1.2150000000e+05,11038
1451,1.2650000000e+05,11219
1451,1.1660000000e+05,11211
1451,1.2290000000e+05,11752
1451,1.2300000000e+05,11512
1451,1.2950000000e+05,11753
1451,1.2150000000e+05,11895
1451,1.1970000000e+05,11922
1451,1.1830000000e+05,11487
1630,1.3820000000e+05,13752
